Date,Open,High,Low,Close,Adj Close,Volume
2009-05-01,49.599998,54.770000,48.549999,51.939999,37.811287,263419000
2009-06-01,52.549999,54.130001,50.000000,51.099998,37.199780,285414400
2009-07-01,51.470001,57.000000,50.520000,55.509998,40.410183,268134700
2009-08-01,55.959999,56.000000,51.139999,54.110001,39.705849,265548400
2009-09-01,53.849998,58.660000,52.520000,57.919998,42.501610,273868500
2009-10-01,57.630001,59.980000,56.020000,58.000000,42.560329,266588300
2009-11-01,58.389999,63.480000,58.000000,62.349998,46.101299,242464100
2009-12-01,62.610001,63.389999,60.410000,60.630001,44.829548,204083500
2010-01-01,61.110001,63.310001,59.009998,61.549999,45.509777,254369600
2010-02-01,61.849998,63.959999,60.430000,63.279999,47.124897,241531900
2010-03-01,63.459999,64.580002,62.509998,63.270000,47.117447,216997300
2010-04-01,63.470001,64.000000,60.830002,62.160000,46.290821,239535800
2010-05-01,62.419998,63.950001,39.369999,61.090000,45.843971,320836100
2010-06-01,60.889999,62.599998,59.570000,59.980000,45.010990,344033000
2010-07-01,59.840000,63.360001,58.919998,61.160000,45.896507,255144100
2010-08-01,61.950001,62.090000,59.169998,59.669998,45.128654,268340400
2010-09-01,59.900002,62.000000,59.529999,59.970001,45.355556,215064600
2010-10-01,60.090000,63.980000,59.680000,63.570000,48.078239,260747300
2010-11-01,63.880001,65.000000,61.020000,61.070000,46.542404,202727700
2010-12-01,61.570000,65.379997,61.500000,64.330002,49.026909,196591300
2011-01-01,64.389999,66.949997,63.009998,63.130001,48.112366,233997500
2011-02-01,63.430000,64.970001,62.299999,63.049999,48.407463,201096800
2011-03-01,63.430000,63.650002,59.700001,61.599998,47.294220,243731400
2011-04-01,61.880001,65.099998,61.470001,64.900002,49.827839,192430200
2011-05-01,65.239998,67.720001,64.860001,67.000000,51.866734,208058900
2011-06-01,66.959999,66.989998,62.360001,63.570000,49.211460,213601700
2011-07-01,63.470001,65.139999,61.490002,61.490002,47.601273,206299700
2011-08-01,62.160000,63.950001,57.560001,63.680000,49.700474,345536600
2011-09-01,63.619999,64.699997,60.299999,63.180000,49.310230,234702600
2011-10-01,63.689999,66.300003,61.779999,63.990002,49.942425,205920800
2011-11-01,63.369999,64.589996,61.000000,64.570000,50.805954,176927600
2011-12-01,64.580002,66.980003,63.869999,66.709999,52.489780,181383300
2012-01-01,66.300003,67.000000,62.700001,63.040001,49.602104,286695300
2012-02-01,63.419998,67.769997,62.560001,67.620003,53.630733,235104300
2012-03-01,67.440002,67.949997,66.199997,67.209999,53.305557,176509200
2012-04-01,67.430000,67.919998,63.290001,63.639999,50.474121,260484800
2012-05-01,63.340000,64.809998,61.980000,62.290001,49.821308,230071300
2012-06-01,61.759998,63.669998,59.070000,61.250000,48.989475,253133100
2012-07-01,61.040001,65.750000,60.779999,64.540001,51.620937,326914900
2012-08-01,64.870003,67.449997,63.240002,67.190002,54.206646,205192800
2012-09-01,67.220001,69.970001,67.010002,69.360001,55.957306,192197500
2012-10-01,69.330002,70.830002,67.260002,69.239998,55.860504,196136900
2012-11-01,69.160004,69.889999,65.830002,69.830002,56.799133,165939000
2012-12-01,69.839996,70.989998,66.830002,67.889999,55.221153,181564600
2013-01-01,68.650002,75.480003,68.349998,75.160004,61.134510,222560700
2013-02-01,75.300003,77.769997,74.949997,76.180000,62.466553,191904000
2013-03-01,75.699997,77.820000,75.559998,77.059998,63.188133,154532700
2013-04-01,76.849998,82.540001,76.349998,76.769997,62.950314,227545000
2013-05-01,76.830002,82.349998,76.720001,76.760002,63.404179,217685100
2013-06-01,76.870003,79.470001,75.099998,76.989998,63.594166,197044800
2013-07-01,77.019997,81.639999,77.000000,80.300003,66.328247,173226400
2013-08-01,81.620003,82.400002,73.610001,77.889999,64.819084,145746000
2013-09-01,78.269997,80.529999,75.349998,75.589996,62.905052,148988500
2013-10-01,75.519997,82.620003,75.199997,80.750000,67.199135,187970900
2013-11-01,80.680000,85.820000,80.639999,84.220001,70.634338,151274200
2013-12-01,84.040001,84.940002,80.480003,81.410004,68.277634,162155800
2014-01-01,81.330002,81.699997,75.260002,76.620003,64.260300,223479100
2014-02-01,76.690002,79.750000,75.400002,78.660004,66.469887,179529200
2014-03-01,78.260002,80.830002,77.349998,80.599998,68.109253,187701800
2014-04-01,80.599998,82.980003,79.379997,82.550003,69.757050,190028500
2014-05-01,82.389999,82.800003,79.540001,80.790001,68.814873,133914500
2014-06-01,80.660004,80.669998,78.430000,78.589996,66.940987,157871600
