Date,Open,High,Low,Close,Adj Close,Volume
2009-05-01,52.529999,56.480000,51.669998,55.160000,40.388355,257261500
2009-06-01,55.750000,57.230000,54.540001,56.799999,41.957165,301738000
2009-07-01,56.820000,62.470001,55.709999,60.889999,44.978355,270356100
2009-08-01,61.160000,61.490002,59.500000,60.439999,44.645958,211869300
2009-09-01,60.349998,61.540001,59.279999,60.889999,45.342884,197460800
2009-10-01,60.930000,62.740002,58.779999,59.049999,43.972706,280297200
2009-11-01,59.150002,63.439999,58.799999,62.840000,46.794994,233417400
2009-12-01,62.950001,65.410004,62.950001,64.410004,48.343571,212286400
2010-01-01,64.709999,65.949997,62.220001,62.860001,47.180195,245125300
2010-02-01,63.259998,64.699997,61.889999,63.000000,47.285275,213341500
2010-03-01,63.270000,65.489998,63.020000,65.199997,49.310951,249947500
2010-04-01,65.370003,66.199997,64.209999,64.300003,48.630276,235860700
2010-05-01,65.160004,65.620003,58.189999,58.299999,44.092457,357775800
2010-06-01,58.209999,60.150002,57.549999,59.060001,45.075233,357343400
2010-07-01,59.070000,61.730000,56.860001,58.090000,44.334923,310708000
2010-08-01,58.500000,60.250000,56.990002,57.020000,43.518280,239384600
2010-09-01,57.669998,62.700001,57.439999,61.959999,47.734497,209239500
2010-10-01,62.090000,64.230003,61.299999,63.740002,49.105827,208721800
2010-11-01,63.880001,64.919998,61.250000,61.549999,47.418640,221392600
2010-12-01,62.180000,63.160000,61.560001,61.849998,48.059826,212152900
2011-01-01,62.630001,63.540001,59.689999,59.770000,46.443569,257253400
2011-02-01,59.700001,61.450001,59.360001,61.439999,47.741230,199932400
2011-03-01,61.250000,61.500000,57.500000,59.250000,46.455887,254534800
2011-04-01,59.630001,65.970001,59.060001,65.720001,51.528801,270819500
2011-05-01,65.919998,67.370003,64.800003,67.290001,52.759777,270892200
2011-06-01,67.019997,67.360001,64.690002,66.519997,52.608379,231770300
2011-07-01,66.480003,68.050003,64.129997,64.790001,51.240200,202614600
2011-08-01,65.279999,66.230003,59.080002,65.800003,52.038982,491488700
2011-09-01,65.660004,66.139999,61.000000,63.689999,50.819004,264862000
2011-10-01,63.650002,65.860001,60.830002,64.389999,51.377529,251590300
2011-11-01,63.680000,65.489998,61.049999,64.720001,51.640858,236914800
2011-12-01,64.680000,66.320000,62.849998,65.580002,52.812664,210285200
2012-01-01,65.589996,66.000000,64.339996,65.910004,53.078426,212136100
2012-02-01,65.970001,66.320000,64.019997,65.080002,52.410000,192370000
2012-03-01,65.110001,66.180000,64.120003,65.959999,53.587894,208163900
2012-04-01,66.040001,66.300003,62.759998,65.099998,52.889191,229665900
2012-05-01,64.910004,65.489998,62.000000,62.430000,50.720013,278010100
2012-06-01,62.040001,67.699997,61.709999,67.559998,55.422104,451142100
2012-07-01,67.419998,69.699997,67.000000,69.220001,56.783886,273347200
2012-08-01,69.480003,69.750000,66.849998,67.430000,55.315464,224101500
2012-09-01,67.489998,69.639999,66.970001,68.910004,57.043243,200224200
2012-10-01,68.919998,72.739998,67.800003,70.820000,58.624332,267146700
2012-11-01,71.099998,71.900002,68.510002,69.730003,57.722027,211662500
2012-12-01,69.800003,71.620003,69.180000,70.099998,58.541477,232603000
2013-01-01,71.019997,74.800003,70.300003,73.919998,61.731609,209813800
2013-02-01,74.139999,77.019997,73.559998,76.110001,63.560509,177978400
2013-03-01,75.790001,81.589996,75.730003,81.529999,68.631432,193396300
2013-04-01,81.389999,85.889999,80.309998,85.230003,71.746086,218722300
2013-05-01,84.500000,89.989998,83.879997,84.180000,70.862206,220724300
2013-06-01,84.279999,87.820000,82.120003,85.860001,72.819717,210552200
2013-07-01,85.720001,94.419998,85.500000,93.500000,79.299370,200315600
2013-08-01,94.160004,94.400002,85.849998,86.410004,73.286179,204260800
2013-09-01,86.889999,90.720001,86.000000,86.690002,74.077621,158876500
2013-10-01,86.589996,93.449997,85.500000,92.610001,79.136322,173024000
2013-11-01,92.379997,95.989998,92.279999,94.660004,80.888077,131026200
2013-12-01,94.410004,94.790001,89.769997,91.589996,78.811111,151086000
2014-01-01,91.139999,95.379997,88.150002,88.470001,76.126411,192804300
2014-02-01,88.750000,92.989998,86.089996,92.120003,79.267143,162234700
2014-03-01,91.129997,98.599998,90.830002,98.230003,85.132904,181324400
2014-04-01,98.309998,101.980003,96.050003,101.290001,87.784889,180242400
2014-05-01,100.769997,101.540001,98.879997,101.459999,87.932213,124656300
2014-06-01,101.540001,106.000000,101.010002,104.620003,91.302826,123927200
2014-07-01,105.150002,106.739998,100.050003,100.089996,87.349449,148795100
2014-08-01,99.760002,104.419998,98.800003,103.730003,90.526100,120163600
2014-09-01,103.300003,108.769997,103.019997,106.589996,93.651230,130571800
2014-10-01,105.980003,108.180000,95.099998,107.779999,94.696793,232630100
2014-11-01,107.830002,109.489998,106.599998,108.250000,95.109741,125669200
2014-12-01,107.889999,108.989998,102.500000,104.570000,92.474831,175446100
2015-01-01,105.050003,106.500000,100.089996,100.139999,88.557236,194999400
2015-02-01,100.489998,103.330002,97.150002,102.510002,90.653114,191367400
2015-03-01,102.510002,103.410004,98.220001,100.599998,89.586769,177464600
2015-04-01,100.459999,102.139999,98.040001,99.199997,88.340042,171578200
2015-05-01,99.620003,104.480003,98.660004,100.139999,89.177116,143779800
2015-06-01,100.279999,100.839996,97.010002,97.459999,87.423416,170021000
2015-07-01,98.300003,101.360001,96.639999,100.209999,89.890205,151816100
2015-08-01,100.000000,101.000000,81.790001,93.980003,84.301781,194634100
2015-09-01,92.290001,96.190002,89.900002,93.349998,84.377243,202039800
2015-10-01,93.430000,102.120003,91.760002,101.029999,91.319054,191671500
2015-11-01,101.180000,103.000000,99.739998,101.239998,91.508865,126172600
2015-12-01,101.730003,105.489998,100.309998,102.720001,93.531059,161997000
2016-01-01,101.709999,104.750000,94.279999,104.440002,95.097198,211115100
2016-02-01,103.610001,106.919998,99.779999,105.209999,95.798302,201552000
2016-03-01,105.900002,109.559998,105.440002,108.199997,99.234818,172970400
2016-04-01,108.000000,114.190002,107.690002,112.080002,102.793327,158141300
2016-05-01,112.220001,115.000000,111.699997,112.690002,103.352783,140870700
2016-06-01,112.690002,121.410004,112.070000,121.300003,112.043678,167563700
2016-07-01,121.300003,126.070000,120.790001,125.230003,115.673775,131996000
2016-08-01,125.309998,125.900002,118.330002,119.339996,110.233231,138570700
2016-09-01,119.190002,119.970001,117.040001,118.129997,109.843475,130378400
2016-10-01,118.000000,120.199997,112.989998,115.989998,107.853600,140054500
2016-11-01,114.760002,122.500000,111.300003,111.300003,103.492607,171115000
2016-12-01,111.360001,117.300003,109.320000,115.209999,107.868591,138044800
2017-01-01,115.779999,117.000000,110.760002,113.250000,106.033493,143312500
2017-02-01,112.480003,122.879997,112.470001,122.209999,114.422546,133814500
2017-03-01,122.489998,129.000000,122.389999,124.550003,117.385078,166544900
2017-04-01,124.730003,125.809998,120.949997,123.470001,116.367210,106205200
2017-05-01,123.400002,128.800003,122.339996,128.250000,120.872238,112541500
2017-06-01,128.320007,137.000000,128.119995,132.289993,125.506645,145558900
2017-07-01,132.789993,137.080002,129.570007,132.720001,125.914589,107885800
2017-08-01,133.169998,134.970001,130.899994,132.369995,125.582535,107061100
2017-09-01,132.600006,135.789993,129.050003,130.009995,124.128166,116205400
2017-10-01,130.160004,144.350006,130.020004,139.410004,133.102875,123841100
2017-11-01,139.830002,141.869995,136.600006,139.330002,133.026505,93742200
2017-12-01,139.570007,143.800003,138.600006,139.720001,134.215775,113979900
2018-01-01,139.660004,148.320007,138.100006,138.190002,132.746048,170933900
2018-02-01,137.529999,140.669998,122.150002,129.880005,124.763412,177033700
2018-03-01,129.110001,135.699997,124.900002,128.149994,123.889832,151807300
2018-04-01,127.820000,132.880005,123.540001,126.489998,122.285027,143849800
2018-05-01,126.320000,127.610001,118.620003,119.620003,115.643410,139533300
2018-06-01,120.379997,124.849998,119.970001,121.339996,118.176231,138683200
2018-07-01,121.339996,132.639999,120.110001,132.520004,129.064728,145735900
2018-08-01,132.389999,137.429993,128.929993,134.690002,131.178146,123996800
2018-09-01,134.690002,143.130005,133.440002,138.169998,135.464203,122168800
2018-10-01,138.259995,141.429993,132.229996,139.990005,137.248566,167853000
2018-11-01,140.070007,148.750000,139.000000,146.899994,144.023239,152740200
2018-12-01,145.570007,148.990005,121.000000,129.050003,127.328514,288727000
2019-01-01,128.130005,135.190002,125.000000,133.080002,131.304749,174385000
2019-02-01,134.020004,137.949997,131.259995,136.639999,134.817261,119453700
2019-03-01,137.220001,140.000000,135.740005,139.789993,138.839996,137354500
2019-04-01,139.990005,141.449997,134.419998,141.199997,140.240417,123927300
2019-05-01,140.949997,142.350006,128.520004,132.110001,131.212204,151223100
