Date,Open,High,Low,Close,Adj Close,Volume
2009-05-01,24.549999,26.985001,22.000000,24.635000,18.019531,231397000
2009-06-01,25.320000,27.725000,24.180000,26.030001,19.257010,199883000
2009-07-01,26.120001,31.110001,23.735001,28.760000,21.276665,199461000
2009-08-01,29.379999,31.375000,29.004999,29.905001,22.123735,137497000
2009-09-01,29.764999,32.375000,28.719999,29.174999,21.778454,154126200
2009-10-01,29.535000,32.474998,27.375000,27.570000,20.580364,240462400
2009-11-01,27.610001,33.365002,27.100000,31.629999,23.611055,229685400
2009-12-01,32.005001,33.195000,31.270000,31.950001,24.051569,130129200
2010-01-01,32.290001,34.330002,30.205000,30.250000,22.771839,160152400
2010-02-01,30.415001,34.285000,30.320000,33.685001,25.357662,146142600
2010-03-01,33.869999,37.174999,33.465000,36.650002,27.815928,177511400
2010-04-01,36.825001,39.305000,36.134998,37.830002,28.711508,162912400
2010-05-01,37.950001,38.779999,32.994999,35.715000,27.106291,184859600
2010-06-01,35.279999,39.174999,33.990002,34.755001,26.634050,193896600
2010-07-01,34.930000,38.244999,33.419998,37.334999,28.611197,190089000
2010-08-01,37.904999,39.115002,35.169998,36.470001,27.948309,126014000
2010-09-01,37.064999,41.540001,36.950001,40.900002,31.631510,119737400
2010-10-01,40.805000,44.029999,39.660000,43.840000,33.905262,129706000
2010-11-01,44.330002,46.355000,44.160000,45.055000,34.844929,124792200
2010-12-01,45.730000,47.889999,45.230000,46.330002,36.133606,100556400
2011-01-01,46.910000,49.744999,45.990002,47.314999,36.901817,146411000
2011-02-01,47.689999,49.750000,45.755001,47.705002,37.205990,95275200
2011-03-01,47.955002,49.715000,45.330002,49.165001,38.662189,129867400
2011-04-01,49.494999,51.904999,46.400002,51.735001,40.683174,118645200
2011-05-01,51.915001,52.500000,49.480000,52.485001,41.272957,117309800
2011-06-01,52.465000,52.799999,49.165001,52.200001,41.432564,114638400
2011-07-01,52.299999,53.945000,49.419998,51.240002,40.670570,117661600
2011-08-01,51.735001,51.810001,42.165001,46.084999,36.578907,202294000
2011-09-01,46.000000,46.855000,39.790001,40.834999,32.759380,147666800
2011-10-01,40.759998,51.900002,38.865002,49.785000,39.939396,151016800
2011-11-01,48.084999,52.080002,47.520000,51.705002,41.479710,107594400
2011-12-01,51.380001,53.299999,48.910000,52.970001,43.037231,110138000
2012-01-01,54.040001,57.904999,53.525002,57.154999,46.437481,118493600
2012-02-01,57.764999,58.700001,54.160000,55.125000,44.788143,119237200
2012-03-01,55.195000,57.435001,52.384998,53.740002,44.133106,134604000
2012-04-01,53.665001,57.240002,52.040001,56.220001,46.169769,131246600
2012-05-01,56.355000,58.070000,53.439999,55.700001,45.742729,114234400
2012-06-01,54.849998,59.910000,52.570000,59.654999,49.521862,115023200
2012-07-01,59.945000,61.889999,57.689999,61.305000,50.891598,105863000
2012-08-01,61.544998,63.455002,60.154999,60.720001,50.405960,71204800
2012-09-01,60.785000,64.635002,58.430000,59.349998,49.752090,83701000
2012-10-01,59.490002,64.190002,59.060001,61.514999,51.566978,78738400
2012-11-01,61.660000,63.459999,58.029999,61.389999,51.462193,73206200
2012-12-01,61.840000,63.775002,60.619999,62.860001,53.296093,64340800
2013-01-01,64.120003,68.095001,63.660000,65.730003,55.729427,82553800
2013-02-01,66.419998,69.254997,65.754997,68.555000,58.124630,80061000
2013-03-01,68.205002,71.500000,67.750000,71.205002,61.003544,70351800
2013-04-01,71.205002,74.635002,67.875000,73.980003,63.380981,88470800
2013-05-01,73.834999,80.500000,72.695000,77.309998,66.233879,70393800
2013-06-01,77.599998,79.605003,74.224998,77.139999,66.671516,72673800
2013-07-01,77.824997,82.589996,76.830002,79.294998,68.534073,66757200
2013-08-01,79.970001,82.275002,76.019997,76.769997,66.351738,61016800
2013-09-01,77.449997,80.955002,76.309998,77.669998,67.827362,66036200
2013-10-01,77.730003,79.035004,74.614998,75.699997,66.106987,128036800
2013-11-01,76.055000,81.610001,75.714996,81.019997,70.752823,79880600
2013-12-01,81.059998,84.120003,80.010002,84.000000,74.073914,68989600
2014-01-01,84.199997,88.500000,82.485001,87.120003,76.825226,98021000
2014-02-01,87.300003,90.639999,85.559998,90.190002,79.532440,79448400
2014-03-01,89.584999,95.239998,89.144997,93.830002,83.593689,83136400
2014-04-01,94.190002,97.080002,90.360001,95.214996,84.827576,86849400
2014-05-01,95.150002,99.730003,93.404999,99.635002,88.765404,73080400
2014-06-01,99.680000,102.959999,98.455002,99.750000,88.867844,65316500
2014-07-01,99.959999,103.250000,97.959999,98.309998,87.976692,64156600
2014-08-01,98.220001,106.339996,96.760002,105.269997,94.205147,58848900
2014-09-01,105.699997,110.260002,105.489998,108.419998,97.485809,59065200
2014-10-01,107.480003,117.099998,96.169998,116.449997,104.705971,116442800
2014-11-01,116.570000,123.610001,114.800003,116.769997,104.993698,66521600
2014-12-01,116.440002,121.400002,111.279999,119.129997,107.551819,91440600
2015-01-01,119.930000,122.190002,109.540001,117.209999,105.818405,96650800
2015-02-01,118.129997,124.519997,116.699997,120.260002,108.571968,62187500
2015-03-01,120.260002,121.000000,106.750000,108.309998,98.223717,101216600
2015-04-01,107.760002,112.440002,104.160004,106.230003,96.337418,124722800
2015-05-01,106.660004,109.419998,99.870003,100.910004,91.512840,115074800
2015-06-01,101.160004,102.849998,94.910004,95.370003,86.953506,121056300
2015-07-01,96.339996,99.709999,91.230003,97.589996,88.977592,119286000
