Date,Open,High,Low,Close,Adj Close,Volume
2009-05-01,16.037500,17.139999,15.660000,16.927500,13.732686,794688800
2009-06-01,17.125000,17.809999,15.067500,15.565000,12.709178,772214000
2009-07-01,15.570000,17.420000,14.500000,16.365000,13.362393,614990800
2009-08-01,16.547501,17.830000,16.475000,17.775000,14.513691,375914800
2009-09-01,17.695000,18.747499,17.152500,17.277500,14.194365,396206800
2009-10-01,17.192499,19.549999,16.635000,18.940001,15.560196,637483200
2009-11-01,19.022499,20.492500,18.950001,20.250000,16.636425,360618800
2009-12-01,20.360001,22.422501,19.677500,21.865000,18.075060,819810000
2010-01-01,22.000000,22.192499,20.152500,20.507500,16.952866,348074000
2010-02-01,20.572500,21.940001,20.135000,21.320000,17.624525,398111200
2010-03-01,21.375000,23.407499,21.320000,22.757500,18.926504,471528000
2010-04-01,22.920000,24.297501,22.504999,22.557501,18.760174,330428400
2010-05-01,22.637501,22.817499,17.072500,18.115000,15.065521,1318828000
2010-06-01,18.122499,20.947500,17.504999,17.687500,14.797906,789074800
2010-07-01,17.750000,19.450001,17.527500,18.337500,15.341709,471789600
2010-08-01,17.745001,18.932501,17.002501,17.245001,14.427697,501453600
2010-09-01,17.457500,18.742500,16.225000,18.565001,15.635918,635893200
2010-10-01,18.684999,20.219999,18.145000,19.540001,16.457087,409629600
2010-11-01,19.645000,20.117500,18.230000,18.462500,15.549583,317080800
2010-12-01,18.735001,20.437500,16.625000,17.594999,14.938481,880941200
2011-01-01,17.600000,18.387501,16.877501,17.462500,14.825984,558037200
2011-02-01,17.552500,19.270000,17.552500,18.262501,15.505202,457333200
2011-03-01,18.467501,18.985001,17.612499,18.405001,15.752933,528332000
2011-04-01,18.497499,19.750000,18.315001,19.530001,16.715820,320730000
2011-05-01,19.615000,20.325001,19.150000,20.264999,17.344917,399527600
2011-06-01,20.190001,21.840000,18.277500,21.065001,18.164862,786230000
2011-07-01,21.025000,22.707500,20.900000,21.385000,18.440809,452779200
2011-08-01,21.750000,22.212500,19.027500,21.969999,18.945263,643794800
2011-09-01,21.930000,23.687500,20.812500,21.430000,18.609703,482022400
2011-10-01,21.242500,23.967501,20.427500,23.315001,20.246626,419068000
2011-11-01,22.790001,24.257500,22.195000,24.242500,21.052067,336694000
2011-12-01,23.980000,25.862499,23.762501,25.382500,22.246756,313435600
2012-01-01,25.850000,26.049999,24.582500,25.160000,22.051741,305384400
2012-02-01,25.295000,29.840000,25.150000,29.092501,25.498421,359655600
2012-03-01,29.362499,30.174999,28.385000,29.500000,26.054533,251469200
2012-04-01,29.500000,31.052500,29.120001,30.745001,27.154121,250660400
2012-05-01,30.867500,31.337500,28.125000,28.799999,25.436293,401376000
